Sample	posterior	likelihood	prior	speciescoalescent	birthRate.t:Species	YuleModel.t:Species	TreeHeight.Species	TreeHeight.t:tree_0_1	TreeHeight.t:tree_0_0	treeLikelihood.tree_0_1	treeLikelihood.tree_0_0	treePrior.t:tree_0_1	treePrior.t:tree_0_0	kappa.s:tree_0_0	freqParameter.s:tree_0_01	freqParameter.s:tree_0_02	freqParameter.s:tree_0_03	freqParameter.s:tree_0_04
950000	-799.861130664563	-760.274731760431	-2.35633076136791	-37.2300681427643	2.29923680390773	0.907369312401794	0.27036253436877	1.67555621197828	1.17181206015684	-375.629852297107	-384.644879463324	-13.0916386839781	-11.2418932398411	4.09072455530908	0.231748184921873	0.263523696598143	0.240069619455873	0.264658499024111
975000	-781.351391186962	-761.430548381567	-3.05678048622699	-16.8640623191675	10.4812171369136	1.1164591714331	0.232828528726455	1.78513800167161	1.00040314341385	-372.009489294353	-389.421059087214	-4.63525992651655	-5.19706824808154	3.61596765327816	0.23474921551827	0.263523696598143	0.244290437721309	0.257436650162278
1000000	-787.613631827623	-759.80919888266	-1.47078276047823	-26.3336501844849	2.70290447476194	1.36430727168764	0.23653976985968	1.98437264447335	1.12175373975206	-371.468227801165	-388.340971081495	-9.12449842310942	-8.67302044435703	3.65009403134078	0.23474921551827	0.263523696598143	0.244290437721309	0.257436650162278
1025000	-784.888327709722	-760.973421266704	-3.97302802469631	-19.9418784183213	1.36323336146499	-2.01149492434308	0.583589128084171	1.30548827195027	0.755397994890371	-374.493369964707	-386.480051301997	-5.08990222568074	-1.58574062194828	1.94416289091772	0.23474921551827	0.263523696598143	0.244290437721309	0.257436650162278
1050000	-792.740685855532	-757.681660949203	-1.04299144359762	-34.0160334627316	6.93422001157398	2.93584908938276	0.237120211481674	2.19627045326057	1.23325359800594	-372.750284371963	-384.93137657724	-9.19084390242622	-15.2559135442854	2.7656738431655	0.23474921551827	0.263523696598143	0.244290437721309	0.257436650162278
1075000	-786.906869164411	-759.579434674919	-1.98392055736993	-25.3435139321218	4.47688619193497	0.640013740990995	0.368291868437926	1.55286965520372	0.733579282756821	-375.77158011569	-383.80785455923	-14.5239325394447	-5.42625827269015	1.80811025727957	0.227433987456078	0.263523696598143	0.244290437721309	0.26475187822447
1100000	-766.41171430382	-759.527273528693	-3.04925720537241	-3.83518356975491	1.90413130485892	-1.98009249877802	0.706389447336787	1.33457344633944	0.91926415104889	-378.072775969505	-381.454497559187	-0.641552538629064	-0.563893453301611	1.80811025727957	0.227433987456078	0.263523696598143	0.244290437721309	0.26475187822447
1125000	-763.573532246413	-759.91190950662	-2.71242189555456	-0.949200844238525	0.709015602893145	-2.85691804384306	0.596325099221864	1.33765788373311	0.747622616990675	-375.330551066607	-384.581358440013	-3.68378335833332	-1.02394911262179	2.55018690746045	0.227433987456078	0.288882846518385	0.244290437721309	0.239392728304227
1150000	-777.485885794324	-758.839229663253	-2.62019062471595	-16.0264655063558	1.38149295034321	-1.93835272632768	0.75241790568273	1.4930979055671	0.986211257873217	-372.901874603232	-385.937355060021	-8.5880509637878	-9.06013164224094	4.48376062791894	0.227433987456078	0.288882846518385	0.244290437721309	0.239392728304227
1175000	-785.507154749021	-759.301744114779	-3.01484579255691	-23.1905648416853	2.25297325212286	-1.43349026400518	0.720960429923669	2.90148850250531	1.45516213712647	-373.213410680889	-386.088333433889	-10.7018820034988	-8.20346083964816	1.53409637581562	0.227433987456078	0.288882846518385	0.244290437721309	0.239392728304227
1200000	-785.034397109765	-757.663389202181	-3.05486432953174	-24.316143578052	0.889070399043903	-2.0166442743575	0.672992714439678	2.12788204396875	1.04290288912674	-373.737516667479	-383.925872534702	-10.5843782626074	-6.86673700548251	1.53409637581562	0.227433987456078	0.292914226722556	0.244290437721309	0.235361348100056
1225000	-776.226627166191	-757.467902364311	-2.4235371699287	-16.3351876319518	2.16183289747461	-0.76149436512691	0.505077935955628	3.2318562550196	0.669963333265185	-372.644985265289	-384.822917099022	-8.72839834077486	-0.586305162487715	1.53409637581562	0.214187027702424	0.306161186476211	0.244290437721309	0.235361348100056
1250000	-797.860514256228	-761.073592063967	-4.03930462466284	-32.747617567598	1.03636563863499	-1.42973822883085	0.579558119490303	1.23318018167345	0.91796784892872	-376.577036581664	-384.496555482303	-7.456143387456	-4.79841356472132	1.53409637581562	0.214187027702424	0.306161186476211	0.244290437721309	0.235361348100056
1275000	-805.600314359255	-758.327234178918	-6.21057937010088	-41.0625008102367	5.94504672692428	-1.4924802341633	0.343605485768472	1.37166046855098	1.21337682634041	-372.854825962737	-385.47240821618	-11.8178028493903	-7.26829869071068	1.76228379479858	0.214187027702424	0.306161186476211	0.244290437721309	0.235361348100056
